Партенр,Вопрос,Тип вопроса,Ответ,Ссылка на источник,Скриншот ответа,Задание по копирайту
DPD,Вопросы по DPD,,,,,"Через точку с запятой вбивать варианты ответов. В радиобаттонах первый вариант всегда верный, в текстовых через точку с запятой вариации ответов (альясы)"
DPD,Какое количество городов и населенных пунктов Российской Федерации обслуживает  DPD в России?,радиобаттоны,"7000;
5345;
6800;
9000;
7485;
8000","http://www.dpd.ru/dpd/uslugi-i-tarify.do2

",http://my.jetscreenshot.com/18644/20140318-0xpl-95kb.jpg,"5 вопросов о компании (желательно, вопросы в разрезе сотрудничества с Сотмаркетом)"
DPD,Какой интерактивный сервис позволяет быстро рассчитать стоимость доставки через DPD?,текст,"Online сервис MyDPD;
Сервис MyDPD;
MyDPD","http://dpd.ru/ols/home.do2

",,
DPD,Свыше скольки терминалов насчитывает служба экспресс-доставки DPD?,радиобаттоны,"830;
900;
520;
462;
850;
735",http://www.dpd.ru/dpd/home.do2,,
DPD,Какую премию получила Dpd в 2012 году?,текст,"Логистический оператор России;
Логистический оператор России - 2012",http://dpd.ru/dpd/o-dpd/press-centr/press-relizy.do2,,
DPD,В какой международный холдинг входит Dpd?,текст,GeoPost,http://dpd.ru/dpd/o-dpd/o-kompanii/istorija.do2,,
СпортЭкспресс,Вопросы по СпортЭкспресс,,,,,
СпортЭкспресс,1. Какая страна представляется газетой СпортЭкспресс в ассоциации Европейских спортивных изданий?,текст,"Россия;
РФ;
Российская Федерация;",http://www.sport-express.ru/edition/,http://my.jetscreenshot.com/demo/20140226-ku5f-103kb,5 вопросов о газете онлайн и 5 вопросов о газете оффлайн
СпортЭкспресс,2. В какой социальной сети у официальной группы СпортЭкспресс наибольшее количество подписчиков?,радиобаттоны,"Вконтакте;
Одноклассники;
Facebook;
Мой мир;
Twitter;
Google+;
Instagram;
Мир тесен;
Привет!ру;
Гайдпарк;
Фотострана;",http://ss.sport-express.ru/files/advert/portal_presentation.pdf,http://my.jetscreenshot.com/demo/20140226-2hvm-59kb,
СпортЭкспресс,3. В каком городе находится издательство газеты СпортЭкспресс?,текст,"Москва;
в Москве",http://www.sport-express.ru/contacts/,http://my.jetscreenshot.com/demo/20140226-dxss-94kb,
СпортЭкспресс,"4. Сколько полос составляет объем газеты СпортЭкспресс, выходящей в понедельник?",текст,"16;
16 полос;
шестнадцать;
шестнадцать полос;
16-ть полос;",http://www.sport-express.ru/advertprint/,http://my.jetscreenshot.com/demo/20140226-bvlg-159kb,
СпортЭкспресс,5. Какая страна рассматривается для открытия представительства газеты СпортЭкспресс: Словакия или Австралия?,текст,Словакия,http://www.sport-express.ru/advertprint/,http://my.jetscreenshot.com/demo/20140226-x797-160kb,
